libgtk-3-0t64:amd64	3.24.41-4ubuntu1.3
libgl1:amd64	1.7.0-1build1
libegl1:amd64	1.7.0-1build1
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1
libgstreamer-plugins-base1.0-0:amd64	1.24.2-1ubuntu0.4
libwebkit2gtk-4.1-0:amd64	2.52.6-0ubuntu0.24.04.1
libwayland-server0:amd64	1.22.0-2.1build1
libx11-6:amd64	2:1.8.7-1build1
libxext6:amd64	2:1.3.4-1build2
libxfixes3:amd64	1:6.0.0-2build1
libxi6:amd64	2:1.8.1-1build1
libxrandr2:amd64	2:1.5.2-2build1
libxcursor1:amd64	1:1.2.1-1build1
libxdamage1:amd64	1:1.1.6-1build1
libxcomposite1:amd64	1:0.4.5-1build3
libxinerama1:amd64	2:1.1.4-3build1
libxrender1:amd64	1:0.9.10-1.1build1
libxau6:amd64	1:1.0.9-1build6
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libasound2t64:amd64	1.2.11-1ubuntu0.3
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfreetype6:amd64	2.13.2+dfsg-1ubuntu0.1
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libnss3:amd64	2:3.98-1ubuntu0.2
libxkbcommon0:amd64	1.6.0-1build1
libsecret-1-0:amd64	0.21.4-1build3
libcurl4t64:amd64	8.5.0-2ubuntu10.13
